cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
54051,ARBOLEDAS,Malaria,1.1255364548832305,6.26,Medio,BAJO,Municipio en BAJO: se prevén 1.13 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (6.3/10).
54099,BOCHALEMA,Dengue,1.276331512538131,7.48,Alto,MEDIO,Municipio en MEDIO: se prevén 1.28 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.5/10).
54109,BUCARASICA,Dengue,1.4734277978400474,7.04,Alto,MEDIO,Municipio en MEDIO: se prevén 1.47 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.0/10).
54172,CHINÁCOTA,Dengue,1.4884852514621203,7.31,Alto,MEDIO,Municipio en MEDIO: se prevén 1.49 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.3/10).
54206,CONVENCIÓN,Dengue,1.9795037454653333,7.98,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 1.98 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad alta (8.0/10).
54245,EL CARMEN,Dengue,1.4491066259641654,7.07,Alto,MEDIO,Municipio en MEDIO: se prevén 1.45 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.1/10).
54250,EL TARRA,Dengue,1.3803481573550642,6.99,Alto,MEDIO,Municipio en MEDIO: se prevén 1.38 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.0/10).
54250,EL TARRA,Malaria,1.4159812794310405,6.99,Alto,MEDIO,Municipio en MEDIO: se prevén 1.42 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.0/10).
54261,EL ZULIA,Dengue,2.6232480522648185,7.13,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 2.62 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad alta (7.1/10).
54261,EL ZULIA,Malaria,1.1406816421656036,7.13,Alto,MEDIO,Municipio en MEDIO: se prevén 1.14 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.1/10).
54313,GRAMALOTE,Dengue,1.1772777136621602,5.88,Medio,BAJO,Municipio en BAJO: se prevén 1.18 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (5.9/10).
